2018-07-22 16:50:50 - INFO - saving to ./results/cifar100
2018-07-22 16:50:50 - DEBUG - run arguments: Namespace(batch_size=32, dataset='cifar100', epochs=100, evaluate=None, gpus='0', input_size=None, lr=0.1, model='vgg_cifar10_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='cifar100', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2018-07-22 16:50:50 - INFO - creating model vgg_cifar10_binary
2018-07-22 16:50:51 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
2018-07-22 16:50:51 - INFO - number of parameters: 36626276
2018-07-22 16:53:00 - INFO - training regime: {0: {'optimizer': 'Adam', 'betas': (0.9, 0.999), 'lr': 0.005}, 40: {'lr': 0.001}, 80: {'lr': 0.0005}, 100: {'lr': 0.0001}, 120: {'lr': 5e-05}, 140: {'lr': 1e-05}}
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting method = Adam
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting lr = 0.005
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting betas = (0.9, 0.999)
2018-07-22 16:53:03 - INFO - TRAINING - Epoch: [0][0/1563]	Time 2.929 (2.929)	Data 0.150 (0.150)	Loss 5.0217 (5.0217)	Prec@1 0.000 (0.000)	Prec@5 6.250 (6.250)
2018-07-22 16:53:04 - INFO - TRAINING - Epoch: [0][10/1563]	Time 0.058 (0.320)	Data 0.000 (0.017)	Loss 4.8658 (4.9794)	Prec@1 0.000 (0.852)	Prec@5 3.125 (7.670)
2018-07-22 16:53:04 - INFO - TRAINING - Epoch: [0][20/1563]	Time 0.058 (0.195)	Data 0.000 (0.011)	Loss 4.8297 (4.9838)	Prec@1 3.125 (1.042)	Prec@5 3.125 (5.952)
2018-07-22 16:53:05 - INFO - TRAINING - Epoch: [0][30/1563]	Time 0.058 (0.151)	Data 0.000 (0.009)	Loss 5.1695 (4.9797)	Prec@1 3.125 (1.109)	Prec@5 9.375 (5.847)
2018-07-22 16:53:05 - INFO - TRAINING - Epoch: [0][40/1563]	Time 0.058 (0.128)	Data 0.000 (0.008)	Loss 4.8965 (4.9575)	Prec@1 0.000 (0.991)	Prec@5 9.375 (5.869)
2018-07-22 16:53:06 - INFO - TRAINING - Epoch: [0][50/1563]	Time 0.058 (0.114)	Data 0.000 (0.008)	Loss 4.6595 (4.9633)	Prec@1 0.000 (0.919)	Prec@5 6.250 (5.637)
2018-07-22 16:53:07 - INFO - TRAINING - Epoch: [0][60/1563]	Time 0.058 (0.105)	Data 0.000 (0.007)	Loss 4.9965 (4.9588)	Prec@1 3.125 (1.076)	Prec@5 3.125 (5.789)
2018-07-22 16:53:07 - INFO - TRAINING - Epoch: [0][70/1563]	Time 0.058 (0.098)	Data 0.000 (0.007)	Loss 4.7833 (4.9399)	Prec@1 0.000 (1.188)	Prec@5 12.500 (5.986)
2018-07-22 16:53:08 - INFO - TRAINING - Epoch: [0][80/1563]	Time 0.058 (0.093)	Data 0.000 (0.007)	Loss 4.8025 (4.9253)	Prec@1 3.125 (1.235)	Prec@5 6.250 (6.211)
2018-07-22 16:53:08 - INFO - TRAINING - Epoch: [0][90/1563]	Time 0.058 (0.090)	Data 0.000 (0.007)	Loss 4.6775 (4.9178)	Prec@1 0.000 (1.168)	Prec@5 3.125 (6.113)
2018-07-22 16:53:09 - INFO - TRAINING - Epoch: [0][100/1563]	Time 0.057 (0.086)	Data 0.000 (0.007)	Loss 4.8020 (4.8992)	Prec@1 0.000 (1.330)	Prec@5 9.375 (6.683)
